session,trial,segment,story,segment_num,condition,with_char,sub,sub_session,res_1,res_1_simi_info,res_1_simi_info_z,res_1_simi_self,res_1_simi_self_z,res_1_simi_other,res_1_simi_other_z,res_1_MAD,res_1_MAD_z,res_1_MD,res_1_MD_z,res_1_MAD_sub,res_1_MAD_sub_z,res_1_MD_sub,res_1_MD_sub_z,res_1_MAD_oppo_sub,res_1_MAD_oppo_sub_z,res_1_MD_oppo_sub,res_1_MD_oppo_sub_z,res_1_score,res_1_conf,res_2,res_2_score,res_2_conf,res_3,res_3_score,res_3_conf,version,cond_1,cond_direction,cond_amount,base_segment,base_seg_num,segment_pair,segment_count,label,characters,hit_char,res_1_simi_otherseg_01,res_1_simi_otherseg_02,res_1_simi_otherseg_03,res_1_simi_otherseg_04,res_1_simi_otherseg_05,res_1_simi_otherseg_06,res_1_simi_otherseg_07,res_1_simi_otherseg_08,res_1_simi_otherseg_09,res_1_simi_otherseg_10,res_1_simi_otherseg_11,hit,scenes,note
3,11,1_04,1,4,p_r,TRUE,0116-1,0116-1,"Beth and Sheila talk and Beth refuses to believe her husband is cheating on her without evidence, so Sheila tells Beth the name of the diner her husband was seen kissing the woman. Beth decides to go see for herself. ",,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p_r,f,p_r/r_p,1_03,3,,3,1_04 : p_r,"Beth, Sheila",TRUE,,,,,,,,,,,,1,431 406 404 503,
3,12,1_04,1,4,recall_f,TRUE,0116-1,0116-1,Sheila comes over to Beth to talk to her about what happened at the grocery store. Beth refuses to believe that Rob is cheating claiming he wouldn't do that after something tragic happened to their daughter. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,recall_f/recall_b,1_04,4,,3,1_04 : recall_f,"Beth, Sheila",TRUE,,,,,,,,,,,,0,402 404 406,
3,13,1_05,1,5,p_recall,TRUE,0116-1,0116-1,Beth receives a call from Rob saying he will be home late because he has a meeting. Beth goes to the diner to see Rob kissing April. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_05,5,,4,1_05 : p_recall,"Beth, Rob, April",TRUE,,,,,,,,,,,,0,502 504 505 506,
3,14,1_06,1,6,p0,FALSE,0116-1,0116-1,Beth confronts Rob about his affair. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,p0,f,p0/r0,1_05,5,1_05-06,5,1_06 : p0,"Beth, Rob",TRUE,,,,,,,,,,,,0,1,
3,15,1_06,1,6,p,TRUE,0116-1,0116-1,Beth confronts Rob about his affair. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p,f,p/r,1_05,5,1_05-06,5,1_06 : p,"Beth, Rob",TRUE,,,,,,,,,,,,0,1,
3,16,1_07,1,7,p_r_recall,TRUE,0116-1,0116-1,Sheila comes over to Beth's. She tells Beth to confront the woman her husband is cheating on her with and to scare her by threatening to tell her boss. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_07,7,,6,1_07 : p_r_recall,"Beth, Sheila",TRUE,,,,,,,,,,,,0,701 704 831,
3,17,1_06,1,6,p_r,TRUE,0116-1,0116-1,Beth waits for Rob to come home and questions what he was doing. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p_r,f,p_r/r_p,1_05,5,,5,1_06 : p_r,"Beth, Rob",TRUE,,,,,,,,,,,,0,553 1,
3,18,1_06,1,6,recall_f,TRUE,0116-1,0116-1,Beth tells Rob she doesn't know who she is without him. Rob gives her permission to do whatever she wants as long as it doesn't affect his dinners. Rob almost chokes on a pimento. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,recall_f/recall_b,1_06,6,,5,1_06 : recall_f,"Beth, Rob",TRUE,,,,,,,,,,,,0,603 604 605 606,
3,19,1_07,1,7,p_recall,TRUE,0116-1,0116-1,Sheila tells Beth to go confront the woman her husband is cheating on her with and threaten her. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_07,7,,6,1_07 : p_recall,"Beth, Sheila",TRUE,,,,,,,,,,,,0,704 831,
3,20,1_08,1,8,p0,FALSE,0116-1,0116-1,Beth goes to the diner to confront April. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,p0,f,p0/r0,1_07,7,1_07-08,7,1_08 : p0,"Beth, April",TRUE,,,,,,,,,,,,1,801 831,
3,21,1_08,1,8,p,TRUE,0116-1,0116-1,Beth goes to the diner to confront April. They argue. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p,f,p/r,1_07,7,1_07-08,7,1_08 : p,"Beth, April",TRUE,,,,,,,,,,,,1,801 831 1,
3,22,1_09,1,9,p_r_recall,TRUE,0116-1,0116-1,April admits she's having an affair with a married man to Beth. Beth asks why a man would do that to his wife. April says its because he's bored of having a house wife. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_09,9,,8,1_09 : p_r_recall,"Beth, April",TRUE,,,,,,,,,,,,0,902 903,
3,23,1_08,1,8,p_r,TRUE,0116-1,0116-1,Beth meets April for the first time. April is very sweet and Beth is surprised. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p_r,f,p_r/r_p,1_07,7,,7,1_08 : p_r,"Beth, April",TRUE,,,,,,,,,,,,1,832 802 0,
3,24,1_08,1,8,recall_f,TRUE,0116-1,0116-1,Beth meets April and starts crying. April offers her a tissue and also a friendship. Beth accepts. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,recall_f/recall_b,1_08,8,,7,1_08 : recall_f,"Beth, April",TRUE,,,,,,,,,,,,0,801 802 803 804,
3,25,1_09,1,9,p_recall,TRUE,0116-1,0116-1,Beth and April talk at the diner. April reveals she's having an affair with a married man. Beth asks why men cheat. April replies that wives can be boring and men need more passion. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_09,9,,8,1_09 : p_recall,"Beth, April",TRUE,,,,,,,,,,,,0,901 902 903,
3,26,1_10,1,10,p0,FALSE,0116-1,0116-1,Beth takes on a new persona by changing the way she looks and acts. She tries to be less boring. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,p0,f,p0/r0,1_09,9,1_09-10,9,1_10 : p0,Beth,TRUE,,,,,,,,,,,,1,1031 0,
3,27,1_10,1,10,p,TRUE,0116-1,0116-1,Beth takes on a new persona by changing the way she looks and acts. She tries to be less boring. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p,f,p/r,1_09,9,1_09-10,9,1_10 : p,Beth,TRUE,,,,,,,,,,,,1,1031 0,
3,28,1_11,1,11,p_r_recall,TRUE,0116-1,0116-1,Beth buys a new dress for Rob and wears it for him. He doesn't notice until she tells him. This makes her mad. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_11,11,,10,1_11 : p_r_recall,"Beth, Rob",TRUE,,,,,,,,,,,,0,1102 1103 1108 1003,
3,29,1_10,1,10,p_r,TRUE,0116-1,0116-1,Beth buys a new dress and gets her nails done. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p_r,f,p_r/r_p,1_09,9,,9,1_10 : p_r,Beth,TRUE,,,,,,,,,,,,1,1003 1052,
3,30,1_10,1,10,recall_f,TRUE,0116-1,0116-1,Beth buys new things and gets her hair done. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,recall_f/recall_b,1_10,10,,9,1_10 : recall_f,Beth,TRUE,,,,,,,,,,,,0,1003 1004,
3,31,1_11,1,11,p_recall,TRUE,0116-1,0116-1,"Beth dresses up for Rob, but he doesn't care so she becomes frustrated. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_11,11,,10,1_11 : p_recall,"Beth, Rob",TRUE,,,,,,,,,,,,0,1102 1103 1108,
5,1,2_11,2,11,r_recall,TRUE,0116-1,0116-1,"Simone finds out Naomi, her best friend, has known about her husband's affair for over a year. She gets revenge by telling Naomi's son, Tommy, that she will hook up with him. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_11,11,,0,2_11 : r_recall,"Simone, Naomi, Tommy",TRUE,,,,,,,,,,,,0,1103 1107 1201,
5,2,2_10,2,10,r0,FALSE,0116-1,0116-1,Naomi and Simone attend a workout class together. ,,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r0,b,p0/r0,2_11,11,2_10-11,1,2_10 : r0,"Simone, Karl",FALSE,,,,,,,,,,,,0,1,
5,3,2_10,2,10,r,TRUE,0116-1,0116-1,Simone and Karl have breakfast before Simone heads to her workout class and Karl goes to work. ,,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r,b,p/r,2_11,11,2_10-11,1,2_10 : r,"Simone, Karl",TRUE,,,,,,,,,,,,0,1 1051 1,
5,4,2_09,2,9,r_p_recall,TRUE,0116-1,0116-1,"Tommy wants to date Simone after they had a kiss. Simone rejects him, calling Tommy a child and saying she can't do that to her best friend. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,2_09,9,,2,2_09 : r_p_recall,"Simone, Tommy",TRUE,,,,,,,,,,,,0,904 903 706,previous - conversation
5,5,2_10,2,10,r_p,TRUE,0116-1,0116-1,Karl comes home from work. Simone and Karl have dinner together. It is quite awkward. ,,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r_p,b,p_r/r_p,2_11,11,,1,2_10 : r_p,"Simone, Karl",TRUE,,,,,,,,,,,,0,1 1,
5,6,2_10,2,10,recall_b,TRUE,0116-1,0116-1,"Simone finds out Karl has been faking his injuries and suicide attempt. She gets mad and tries to kick him out of the house, but he threatens to come out and ruin her reputation. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,recall_f/recall_b,2_10,10,,1,2_10 : recall_b,"Simone, Karl",TRUE,,,,,,,,,,,,0,1004 1005 1006 452,
5,7,2_09,2,9,r_recall,TRUE,0116-1,0116-1,"Tommy wants to show Simone that he has become a man now and can date her. Simone disagrees because she can't do that to her best friend, who is also Tommy's mother. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_09,9,,2,2_09 : r_recall,"Simone, Tommy",TRUE,,,,,,,,,,,,0,904 903,
5,8,2_08,2,8,r0,FALSE,0116-1,0116-1,Simone and Tommy kiss. ,,,,,,,,,,,,,,,,,,,,1,,,,,,,exp,r0,b,p0/r0,2_09,9,2_08-09,3,2_08 : r0,"Simone, Karl",FALSE,,,,,,,,,,,,0,706,
5,9,2_08,2,8,r,TRUE,0116-1,0116-1,Karl comes home from the hospital. Simone helps him. They come to an agreement that they will continue their marriage. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r,b,p/r,2_09,9,2_08-09,3,2_08 : r,"Simone, Karl",TRUE,,,,,,,,,,,,0,0 1,
5,10,2_07,2,7,r_p_recall,TRUE,0116-1,0116-1,Tommy comes over to Simone's and admits he knows Karl is gay. Tommy comforts Simone and they kiss. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,2_07,7,,4,2_07 : r_p_recall,"Simone, Tommy",TRUE,,,,,,,,,,,,0,702 704 706,
5,11,2_08,2,8,r_p,TRUE,0116-1,0116-1,Simone helps Karl home from the hospital. They agree to keep Karl's sexuality a secret and continue their marriage.  ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r_p,b,p_r/r_p,2_09,9,,3,2_08 : r_p,"Simone, Karl",TRUE,,,,,,,,,,,,0,0 1,
5,12,2_08,2,8,recall_b,TRUE,0116-1,0116-1,Simone visits Karl in the hospital. They agree to continue their marriage until July which is after her daughter's wedding. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,recall_f/recall_b,2_08,8,,3,2_08 : recall_b,"Simone, Karl",TRUE,,,,,,,,,,,,0,801 803,
5,13,2_07,2,7,r_recall,TRUE,0116-1,0116-1,Tommy comes over to Simone's and admits that he knows her husband is gay. She cries because she feels unloved and he comforts her. They kiss and she tells him to leave. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_07,7,,4,2_07 : r_recall,"Simone, Tommy",TRUE,,,,,,,,,,,,0,702 704 706 707,
5,14,2_06,2,6,r0,FALSE,0116-1,0116-1,Karl tries to commit suicide by swallowing sleeping pills. Simone finds him and calls for an ambulance. Karl is admitted into the hospital. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r0,b,p0/r0,2_07,7,2_06-07,5,2_06 : r0,"Simone, Karl, Neighbors, Wanda",FALSE,,,,,,,,,,,,1,452 504 505 601 652,
5,15,2_06,2,6,r,TRUE,0116-1,0116-1,Karl tries to commit suicide by swallowing sleeping pills. Wanda finds him and calls for an ambulance. The neighbors all watch and discuss among themselves as Karl is taken away. Simone finds out and becomes emotional. ,,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r,b,p/r,2_07,7,2_06-07,5,2_06 : r,"Simone, Karl, Neighbors, Wanda",TRUE,,,,,,,,,,,,1,452 533 534 602 601 1,
5,16,2_05,2,5,r_p_recall,TRUE,0116-1,0116-1,"Tommy is the last to leave the party after asking about how Karl is doing. Simone was talking about their divorce when she sees Karl overdosed on sleeping pills, so Simone had to call an ambulance. Initially Simone seems angry  and slaps him but later she is more gentle. ",,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,2_05,5,,6,2_05 : r_p_recall,"Simone, Karl, Tommy",TRUE,,,,,,,,,,,,0,502 503 504 505 506 456 452,
5,17,2_06,2,6,r_p,TRUE,0116-1,0116-1,The ambulance arrives to take Karl away. The neighbors watch as Karl is loaded into an ambulance. Wanda asks Simone what happened. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r_p,b,p_r/r_p,2_07,7,,5,2_06 : r_p,"Simone, Karl, Neighbors, Wanda",TRUE,,,,,,,,,,,,1,553 601 602 1,
5,18,2_06,2,6,recall_b,TRUE,0116-1,0116-1,Karl is taken away in an ambulance. Simone tells the neighbors who have come to see what is going on that Karl just slipped down the stairs. Simone finds out Wanda is the one who left the photo that exposed Karl as gay so Simone attacks Wanda. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,recall_f/recall_b,2_06,6,,5,2_06 : recall_b,"Simone, Karl, Neighbors, Wanda",TRUE,,,,,,,,,,,,0,601 602 603 604 156,
5,19,2_05,2,5,r_recall,TRUE,0116-1,0116-1,Tommy is the last to leave the party after cleaning up. Simone expects Karl to be packing but he has overdosed from sleeping pills. Simone calls an ambulance. She initially seems angry but then becomes sad. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_05,5,,6,2_05 : r_recall,"Simone, Karl, Tommy",TRUE,,,,,,,,,,,,0,501 503 504 505 506 452,
5,20,2_04,2,4,r0,FALSE,0116-1,0116-1,Simone hosts a party for her neighbors and for her art gallery. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r0,b,p0/r0,2_05,5,2_04-05,7,2_04 : r0,"Simone, Karl",FALSE,,,,,,,,,,,,0,231,
5,21,2_04,2,4,r,TRUE,0116-1,0116-1,Simone and Karl host  party for their neighbors and for Simone's art gallery. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r,b,p/r,2_05,5,2_04-05,7,2_04 : r,"Simone, Karl",TRUE,,,,,,,,,,,,0,231,
5,22,2_03,2,3,r_p_recall,TRUE,0116-1,0116-1,Simone and Karl are hosting a party when Simone finds pictures of Karl and another man. Tommy tries to talk to her but she dismisses him. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,2_03,3,,8,2_03 : r_p_recall,"Simone, Karl, Tommy",TRUE,,,,,,,,,,,,0,301 302,
5,23,2_04,2,4,r_p,TRUE,0116-1,0116-1,Simone confronts Karl about the pictures. He admits he is gay. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,r_p,b,p_r/r_p,2_05,5,,7,2_04 : r_p,"Simone, Karl",TRUE,,,,,,,,,,,,1,402,
5,24,2_04,2,4,recall_b,TRUE,0116-1,0116-1,Simone confronts Karl about the pictures to which he admits he's been seeing men. Simone storms out. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,recall_f/recall_b,2_04,4,,7,2_04 : recall_b,"Simone, Karl",TRUE,,,,,,,,,,,,0,402,
5,25,2_03,2,3,r_recall,TRUE,0116-1,0116-1,Simone finds pictures of Karl kissing another man. She gets angry. Tommy tries to check on her but she dismisses him and goes upstairs. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_03,3,,8,2_03 : r_recall,"Simone, Karl, Tommy",TRUE,,,,,,,,,,,,0,301 302,
5,26,2_02,2,2,r0,FALSE,0116-1,0116-1,Simone and Karl host a party to celebrate Simone's new art gallery. ,,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r0,b,p0/r0,2_03,3,2_02-03,9,2_02 : r0,"Simone, Karl, Naomi, Tommy",FALSE,,,,,,,,,,,,1,231,
5,27,2_02,2,2,r,TRUE,0116-1,0116-1,Simone and Karl host a party to celebrate Simone's new art gallery. Tommy is working as one of the waiters who is setting up. Naomi arrives to support her friend. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r,b,p/r,2_03,3,2_02-03,9,2_02 : r,"Simone, Karl, Naomi, Tommy",TRUE,,,,,,,,,,,,1,231 203 154 155,
5,28,2_01,2,1,r_p_recall,TRUE,0116-1,0116-1,Simone is running late to her hair appointment so she asks Karl to lie to the hairdresser and say she has already left. Karl reminds her not to be late for their party. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,2_01,1,,10,2_01 : r_p_recall,"Simone, Karl",TRUE,,,,,,,,,,,,0,101 102 151 153 231,
5,29,2_02,2,2,r_p,TRUE,0116-1,0116-1,Simone and Karl host a party for their friends. Tommy is a waiter. Naomi attends to support her friends. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,r_p,b,p_r/r_p,2_03,3,,9,2_02 : r_p,"Simone, Karl, Naomi, Tommy",TRUE,,,,,,,,,,,,1,231 203 155,
5,30,2_02,2,2,recall_b,TRUE,0116-1,0116-1,Naomi and Simone are talking when Tommy walks by with a platter. Naomi admits Wanda doesn't like Simone and Simone is upset by that. Karl cheers her up by asking to dance. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,recall_f/recall_b,2_02,2,,9,2_02 : recall_b,"Simone, Karl, Naomi, Tommy",TRUE,,,,,,,,,,,,0,202 203 204 251,
5,31,2_01,2,1,r_recall,TRUE,0116-1,0116-1,Simone is running late to her hair appointment and asks Karl to lie for her. He agrees and reminds her not to be late for their party tonight. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_r,b,p_recall/r_recall,2_01,1,,10,2_01 : r_recall,"Simone, Karl",TRUE,,,,,,,,,,,,0,101 102 151 153 231,
3,1,1_11,1,11,r_recall,TRUE,0116-2,0116-2,"Rob comes home from work and ignores Beth who is trying to impress/seduce him. While eating the dinner Beth made for him, Rob ignores her. Beth asks him about it and Rob says that he doesn't notice things like hair or clothes because he doesn't need Beth to be anything other than the girl he married.",,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,recall_r,b,p_recall/r_recall,1_11,11,,0,1_11 : r_recall,"Beth, Rob",TRUE,,,,,,,,,,,,0,1101 1102 1103 1104 1108 1109,
3,2,1_10,1,10,r0,FALSE,0116-2,0116-2,"Beth and Rob were growing apart in their marriage because of Rob's work schedule, and Beth felt like she was being ignored. She decided to go out and buy a new dress and get her nails done to impress Rob.",,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r0,b,p0/r0,1_11,11,1_10-11,1,1_10 : r0,Beth,TRUE,,,,,,,,,,,,1,1 2 1003 1052,
3,3,1_10,1,10,r,TRUE,0116-2,0116-2,"Beth and Rob were growing apart in their marriage because of Rob's work schedule, and Beth felt like she was being ignored. She decided to go out and buy a new dress and get her nails done to impress Rob.",,,,,,,,,,,,,,,,,,,,2,,,,,,,exp,r,b,p/r,1_11,11,1_10-11,1,1_10 : r,Beth,TRUE,,,,,,,,,,,,1,1 2 1003 1052,
3,4,1_09,1,9,r_p_recall,TRUE,0116-2,0116-2,"Beth went to the diner that she's been visiting over the last week because she suspected that Rob was cheating with one of the waitresses, April. She gains April's confidence by telling her that she's a widow, and Beth finds out that April is dating Rob. April suspects that Rob is bored with his wife.",,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,1_09,9,,2,1_09 : r_p_recall,"Beth, April",TRUE,,,,,,,,,,,,0,901 902 903 852,
3,5,1_10,1,10,r_p,TRUE,0116-2,0116-2,Beth is suspicious of her husband's behavior and decides to follow him around throughout his day to figure out what's going on. She sees him with April.,,,,,,,,,,,,,,,,,,,,1,,,,,,,exp,r_p,b,p_r/r_p,1_11,11,,1,1_10 : r_p,Beth,TRUE,,,,,,,,,,,,0,503 505 506,
3,6,1_10,1,10,recall_b,TRUE,0116-2,0116-2,"Beth worries that she no longer looks as she did when she got married, so she decides to go on a shopping spree and get her hair done.",,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,recall_r,b,recall_f/recall_b,1_10,10,,1,1_10 : recall_b,Beth,TRUE,,,,,,,,,,,,0,1001 1003 1004,
3,7,1_09,1,9,r_recall,TRUE,0116-2,0116-2,"Beth goes to the diner where she gains April's confidence by telling her that she's a widow. April reveals that she's dating a married man named Rob, and Beth questions her about their relationship. April suspects that Rob is bored with his wife.",,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,recall_r,b,p_recall/r_recall,1_09,9,,2,1_09 : r_recall,"Beth, April",TRUE,,,,,,,,,,,,0,901 902 903,
3,8,1_08,1,8,r0,FALSE,0116-2,0116-2,Beth sees Rob with another woman.,,,,,,,,,,,,,,,,,,,,1,,,,,,,exp,r0,b,p0/r0,1_09,9,1_08-09,3,1_08 : r0,"Beth, April",FALSE,,,,,,,,,,,,0,506,
3,9,1_08,1,8,r,TRUE,0116-2,0116-2,Beth goes to the diner and meets April for the first time. She decides to continue going to try and befriend April in hopes of finding out whether April is dating her husband.,,,,,,,,,,,,,,,,,,,,1,,,,,,,exp,r,b,p/r,1_09,9,1_08-09,3,1_08 : r,"Beth, April",TRUE,,,,,,,,,,,,1,801 0,
3,10,1_07,1,7,r_p_recall,TRUE,0116-2,0116-2,Beth's friend Sheila comes over and Beth shares that she went to the diner and saw Rob kissing April. They sit down together to drink the wine that Sheila brought and Sheila advises Beth to confront April and make a scene.,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,recall_r,b,p_r_recall/r_p_recall,1_07,7,,4,1_07 : r_p_recall,"Beth, Sheila",TRUE,,,,,,,,,,,,0,701 702 704 651 504 505 506 831,
